date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,year,month,normalized_open,normalized_close,volume_bin
2014-05-07,78.1753,78.4432,77.1877,77.7918,70715988,10102284,-0.273169,-0.35,77.7288,"May 7, 14",0.1277099421444112,2014,5,0.0636851767121952,0.06066131627516159,3.0
2014-05-08,77.3173,78.1269,77.0741,77.2831,57574363,8224909,-0.508697,-0.654,77.7606,"May 8, 14",0.1203355653133204,2014,5,0.05835857468076086,0.0575275918063609,2.0
2014-05-09,76.8297,77.0544,76.2763,76.9614,72899498,10414214,-0.321688,-0.416,76.619,"May 9, 14",0.1156720366587853,2014,5,0.05533147543772191,0.05554583603358083,3.0
2014-05-12,77.2174,78.0284,77.2056,77.9193,53324677,7617811,0.957838,1.245,77.7001,"May 12, 14",0.1295582477193359,2014,5,0.05773837940926864,0.06144674947699397,2.0
2014-05-13,77.8102,78.144,77.6393,78.0415,39934594,5704942,0.122236,0.157,78.0846,"May 13, 14",0.1313297217684007,2014,5,0.06141857717644148,0.06219953329867163,1.0
2014-05-14,77.8667,78.5199,77.776,78.056,41600846,5942978,0.01446,0.019,78.2913,"May 14, 14",0.1315399212259411,2014,5,0.06176933826592405,0.06228885707456627,1.0
2014-05-15,78.1651,78.4148,77.2897,77.3922,57711731,8244533,-0.663752,-0.85,77.746,"May 15, 14",0.1219171350248832,2014,5,0.06362185347126208,0.058199676216713084,2.0
2014-05-16,77.3672,78.537,76.9427,78.5344,69091834,9870262,1.1422,1.476,77.707,"May 16, 14",0.1384750536733442,2014,5,0.058668361908463126,0.06523592565304927,3.0
2014-05-19,78.5791,79.8251,78.5107,79.465,79439024,11348432,0.930565,1.185,79.458,"May 19, 14",0.1519655098931462,2014,5,0.06619203207384232,0.07096866398736412,3.0
2014-05-20,79.4544,79.7029,78.9576,79.4807,58708986,8386998,0.015775,0.02,79.4486,"May 20, 14",0.1521931051678623,2014,5,0.07162603528842809,0.07106538007574659,2.0
2014-05-21,79.3651,79.7423,79.1324,79.691,49249914,7035702,0.210298,0.265,79.6561,"May 21, 14",0.1552417221279143,2014,5,0.0710716465222193,0.07236088283923943,2.0
2014-05-22,79.7291,80.1563,79.4006,79.8172,50218945,7174135,0.126179,0.158,79.7693,"May 22, 14",0.1570711822342317,2014,5,0.07333141708100968,0.07313830770254323,2.0
2014-05-23,79.8146,80.7976,79.7121,80.7189,58052491,8293213,0.901651,1.13,80.6032,"May 23, 14",0.1701426891903842,2014,5,0.07386221483589037,0.07869301451110948,2.0
2014-05-27,80.9489,82.2606,80.916,82.2304,87216605,12459515,1.5115,1.873,81.7553,"May 27, 14",0.1920541705746853,2014,5,0.08090413171730763,0.08800424811557639,4.0
2014-05-28,82.2816,82.7824,81.9872,82.0174,78921885,11274555,-0.212928,-0.259,82.3531,"May 28, 14",0.1889664130259878,2014,5,0.08917774771648321,0.0866921126489859,3.0
2014-05-29,82.5222,83.7077,82.5116,83.5119,94118633,13445519,1.4944,1.822,83.0394,"May 29, 14",0.2106314536669657,2014,5,0.09067143122320014,0.09589862182654187,4.0
2014-05-30,83.8536,84.6672,82.6602,83.1991,141005137,20143591,-0.312818,-0.375,83.7945,"May 30, 14",0.2060969439898176,2014,5,0.09893697661323717,0.09397169237137996,7.0
2014-06-02,83.3252,83.4396,81.819,82.6273,92337903,13191129,-0.571745,-0.687,82.7069,"Jun 2, 14",0.1978078371055679,2014,6,0.09565658440646564,0.09044925547092733,4.0
2014-06-03,82.6023,83.9535,82.5747,83.7958,73231620,10461660,1.1685,1.414,83.5193,"Jun 3, 14",0.2147470140804643,2014,6,0.09116870490935154,0.09764751975595515,3.0
2014-06-04,83.7826,85.1561,83.6078,84.7526,83870521,11981503,0.956853,1.142,84.5932,"Jun 4, 14",0.2286172789752703,2014,6,0.09849619719105554,0.10354165691292105,4.0
